MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,Word_numWords,readinglevel
0.26,1.92,23.4,702.0,2
0.25,2.02,19.55,528.0,0
0.26,1.97,22.24,645.0,1
0.25,2.34,23.21,882.0,2
0.22,2.55,19.6,588.0,0
0.25,2.39,22.31,848.0,1
0.34,2.07,22.21,844.0,2
0.27,2.42,15.84,523.0,0
0.29,2.19,19.85,695.0,1
0.26,2.15,24.22,751.0,2
0.25,2.33,21.41,514.0,0
0.28,2.19,22.77,615.0,1
0.31,2.08,28.0,700.0,2
0.32,2.26,20.9,418.0,0
0.33,2.27,22.11,575.0,1
0.52,1.82,27.13,1004.0,2
0.57,2.13,18.44,535.0,0
0.52,1.9,23.58,731.0,1
0.41,1.77,26.2,1048.0,2
0.35,2.01,25.28,632.0,0
0.4,1.91,25.38,863.0,1
0.33,2.44,21.73,1065.0,2
0.29,2.55,20.0,540.0,0
0.34,2.57,19.35,813.0,1
0.22,1.91,22.75,637.0,2
0.22,2.12,19.33,580.0,0
0.23,2.02,21.27,617.0,1
0.28,2.43,18.87,1057.0,2
0.32,2.58,17.31,814.0,0
0.3,2.51,17.35,937.0,1
0.27,2.16,25.48,1096.0,2
0.24,2.3,21.12,528.0,0
0.28,2.26,23.44,797.0,1
0.3,2.08,27.6,911.0,2
0.29,2.42,23.45,563.0,0
0.33,2.15,26.58,771.0,1
0.42,2.15,23.58,849.0,2
0.36,2.37,22.39,515.0,0
0.42,2.15,23.86,692.0,1
0.23,2.37,25.19,1033.0,2
0.27,2.39,18.6,707.0,0
0.22,2.37,21.16,783.0,1
0.2,2.49,22.9,939.0,2
0.21,2.76,16.96,526.0,0
0.21,2.61,20.36,733.0,1
0.26,2.1,22.45,786.0,2
0.29,2.2,18.17,709.0,0
0.27,2.14,20.69,745.0,1
0.3,2.28,32.0,1056.0,2
0.28,2.45,21.36,769.0,0
0.32,2.34,26.27,867.0,1
0.3,2.36,25.52,1072.0,2
0.3,2.52,21.71,695.0,0
0.28,2.42,23.62,827.0,1
0.31,2.33,24.52,1030.0,2
0.33,2.54,18.12,743.0,0
0.33,2.35,20.97,860.0,1
0.22,2.12,30.0,1110.0,2
0.21,2.37,17.65,671.0,0
0.22,2.2,27.31,792.0,1
0.41,1.95,26.8,831.0,2
0.47,2.04,22.5,450.0,0
0.45,1.99,22.56,722.0,1
0.29,2.07,19.05,1010.0,2
0.22,2.5,15.9,525.0,0
0.32,2.24,18.27,859.0,1
0.34,2.13,23.02,1013.0,2
0.29,2.32,22.09,464.0,0
0.3,2.24,20.45,757.0,1
0.32,2.09,22.97,965.0,2
0.29,2.35,17.47,629.0,0
0.36,2.27,20.57,823.0,1
0.27,1.87,23.31,1026.0,2
0.25,2.12,18.12,580.0,0
0.26,2.01,21.91,811.0,1
0.38,2.2,29.57,976.0,2
0.39,2.42,19.67,610.0,0
0.39,2.31,25.03,801.0,1
0.3,1.99,24.96,649.0,2
0.33,2.22,16.07,418.0,0
0.33,2.07,19.11,497.0,1
0.29,2.1,25.45,840.0,2
0.31,2.0,19.77,613.0,0
0.32,2.08,24.96,774.0,1
0.19,2.56,23.46,704.0,2
0.17,2.55,18.45,646.0,0
0.16,2.55,22.61,701.0,1
0.25,2.42,20.69,952.0,2
0.27,2.58,18.0,684.0,0
0.24,2.48,17.48,857.0,1
0.36,2.04,26.9,888.0,2
0.39,2.19,18.06,578.0,0
0.37,2.09,23.96,719.0,1
0.24,2.23,22.95,964.0,2
0.22,2.43,18.27,676.0,0
0.25,2.27,19.9,816.0,1
0.29,2.04,27.91,1033.0,2
0.3,2.2,18.87,736.0,0
0.31,2.12,22.45,831.0,1
0.25,2.01,30.68,675.0,2
0.23,2.06,22.62,543.0,0
0.22,2.02,28.08,646.0,1
0.34,2.42,20.25,891.0,2
0.24,2.81,16.38,426.0,0
0.32,2.56,20.18,767.0,1
0.28,2.23,27.03,838.0,2
0.31,2.47,22.0,374.0,0
0.29,2.3,23.39,655.0,1
0.3,1.96,24.53,1006.0,2
0.25,2.38,19.44,525.0,0
0.3,2.22,21.32,661.0,1
0.37,2.17,22.45,1033.0,2
0.31,2.32,17.32,693.0,0
0.32,2.17,20.87,856.0,1
0.19,2.42,18.15,817.0,2
0.16,2.53,15.36,630.0,0
0.15,2.46,15.55,731.0,1
0.21,2.15,27.03,784.0,2
0.23,2.42,20.7,559.0,0
0.26,2.25,22.37,716.0,1
0.32,2.23,18.51,963.0,2
0.3,2.42,17.04,716.0,0
0.31,2.32,17.71,815.0,1
0.33,1.84,28.57,800.0,2
0.29,2.1,19.71,631.0,0
0.35,1.91,22.54,744.0,1
0.24,2.34,27.1,1030.0,2
0.21,2.54,16.43,756.0,0
0.2,2.43,22.83,959.0,1
0.24,1.91,19.55,1017.0,2
0.19,2.06,15.97,591.0,0
0.2,1.99,19.52,859.0,1
0.26,2.48,18.74,731.0,2
0.28,2.67,14.51,595.0,0
0.28,2.53,16.14,678.0,1
0.19,2.37,25.03,751.0,2
0.25,2.68,19.37,562.0,0
0.21,2.44,22.07,618.0,1
0.19,2.02,24.58,836.0,2
0.18,2.34,16.06,482.0,0
0.18,2.22,21.02,715.0,1
0.24,2.28,22.39,851.0,2
0.26,2.42,16.8,521.0,0
0.21,2.43,19.16,709.0,1
0.36,2.01,24.08,1132.0,2
0.21,2.12,17.0,425.0,0
0.33,2.12,20.72,684.0,1
0.19,1.99,23.9,741.0,2
0.21,2.08,19.11,650.0,0
0.22,2.02,21.6,713.0,1
0.33,2.12,22.74,1342.0,2
0.27,2.2,18.82,885.0,0
0.33,2.18,20.64,1156.0,1
0.29,2.4,31.56,789.0,2
0.31,2.75,18.87,604.0,0
0.28,2.5,25.0,700.0,1
0.2,1.95,20.85,709.0,2
0.14,1.97,17.82,410.0,0
0.19,1.98,18.61,484.0,1
0.27,1.99,30.78,862.0,2
0.2,2.08,20.19,626.0,0
0.23,2.01,26.11,679.0,1
0.21,2.77,18.02,811.0,2
0.21,2.89,14.83,712.0,0
0.22,2.8,17.04,750.0,1
0.29,2.1,28.96,782.0,2
0.29,2.25,20.0,580.0,0
0.28,2.17,27.23,708.0,1
0.21,2.4,21.36,983.0,2
0.22,2.61,17.21,654.0,0
0.2,2.46,20.02,821.0,1
0.42,2.0,27.4,822.0,2
0.35,2.15,22.07,618.0,0
0.44,2.04,25.71,720.0,1
0.3,2.38,25.21,1059.0,2
0.34,2.63,22.45,696.0,0
0.34,2.46,23.81,905.0,1
0.34,2.54,21.36,1068.0,2
0.32,2.7,17.1,787.0,0
0.37,2.61,20.04,882.0,1
0.29,1.87,23.04,1129.0,2
0.3,2.03,18.22,565.0,0
0.3,1.95,19.72,927.0,1
0.28,2.26,23.11,1549.0,2
0.3,2.38,16.37,1015.0,0
0.3,2.28,21.87,1225.0,1
0.24,2.11,26.6,798.0,2
0.18,2.19,20.09,623.0,0
0.23,2.17,23.79,690.0,1
0.28,1.94,29.09,611.0,2
0.26,2.12,17.8,374.0,0
0.26,2.05,20.95,503.0,1
0.23,2.18,32.96,824.0,2
0.23,2.42,21.93,658.0,0
0.19,2.23,26.84,698.0,1
0.21,2.0,27.62,967.0,2
0.23,2.28,19.87,656.0,0
0.18,2.03,22.7,840.0,1
0.25,2.22,24.02,817.0,2
0.27,2.3,19.83,595.0,0
0.28,2.25,23.39,655.0,1
0.29,2.06,19.12,1071.0,2
0.31,2.05,17.02,630.0,0
0.34,2.06,16.87,810.0,1
0.21,2.24,29.7,713.0,2
0.25,2.44,22.53,631.0,0
0.23,2.3,25.22,681.0,1
0.31,2.26,22.76,888.0,2
0.45,2.39,18.25,639.0,0
0.32,2.32,20.94,754.0,1
0.27,2.1,26.37,633.0,2
0.25,2.22,21.62,519.0,0
0.26,2.14,25.54,613.0,1
0.21,2.3,19.58,1234.0,2
0.19,2.67,17.23,793.0,0
0.21,2.45,20.15,927.0,1
0.33,2.04,21.84,830.0,2
0.34,2.2,19.07,763.0,0
0.34,2.04,21.4,792.0,1
0.23,2.18,20.96,671.0,2
0.22,2.26,18.46,591.0,0
0.21,2.23,18.93,625.0,1
0.26,2.16,25.81,568.0,2
0.25,2.38,20.77,457.0,0
0.23,2.19,23.04,553.0,1
0.38,2.17,30.75,892.0,2
0.41,2.26,19.8,495.0,0
0.37,2.2,23.92,598.0,1
0.27,2.11,26.67,747.0,2
0.29,2.24,17.84,464.0,0
0.29,2.29,21.16,635.0,1
0.26,2.1,30.36,911.0,2
0.3,2.32,22.79,547.0,0
0.25,2.29,28.04,701.0,1
0.26,2.3,25.3,1012.0,2
0.24,2.35,18.72,543.0,0
0.27,2.34,22.25,801.0,1
0.31,2.29,28.51,998.0,2
0.29,2.6,17.62,705.0,0
0.31,2.46,21.86,787.0,1
0.34,2.19,29.15,379.0,2
0.46,2.42,20.78,291.0,0
0.31,2.23,24.71,346.0,1
0.38,2.21,24.53,1055.0,2
0.31,2.45,21.5,559.0,0
0.31,2.26,22.88,778.0,1
0.33,2.12,25.22,782.0,2
0.34,2.33,18.87,585.0,0
0.36,2.15,22.54,699.0,1
0.36,1.94,29.92,1227.0,2
0.42,2.15,17.89,662.0,0
0.42,1.99,25.45,891.0,1
0.19,2.2,25.82,1059.0,2
0.15,2.36,25.03,701.0,0
0.17,2.19,25.08,878.0,1
0.22,2.1,29.73,773.0,2
0.19,2.3,17.64,441.0,0
0.18,2.2,21.62,627.0,1
0.25,2.33,21.09,1139.0,2
0.26,2.5,18.05,704.0,0
0.26,2.32,19.76,909.0,1
0.35,2.29,21.29,873.0,2
0.33,2.33,15.96,447.0,0
0.3,2.33,19.56,802.0,1
0.23,2.01,25.11,1281.0,2
0.18,2.22,19.55,528.0,0
0.23,2.12,22.41,874.0,1
0.3,2.03,29.94,569.0,2
0.37,2.39,20.94,356.0,0
0.33,2.12,24.45,489.0,1
0.3,2.15,24.36,1145.0,2
0.31,2.2,20.33,732.0,0
0.32,2.13,21.42,900.0,1
0.3,2.42,26.51,1087.0,2
0.32,2.53,18.84,716.0,0
0.31,2.5,23.26,884.0,1
0.3,2.09,21.82,1004.0,2
0.28,2.2,18.45,646.0,0
0.31,2.17,19.8,891.0,1
0.24,2.34,22.6,1130.0,2
0.22,2.45,16.84,657.0,0
0.24,2.33,20.36,937.0,1
0.29,1.83,26.09,574.0,2
0.21,2.05,14.37,417.0,0
0.29,1.94,20.76,519.0,1
0.31,2.33,29.86,866.0,2
0.35,2.47,20.52,513.0,0
0.33,2.32,25.56,767.0,1
0.33,2.46,19.37,872.0,2
0.34,2.63,16.5,561.0,0
0.34,2.52,17.54,807.0,1
0.32,2.12,15.22,1233.0,2
0.23,2.36,14.52,726.0,0
0.32,2.24,14.86,1026.0,1
0.27,2.09,23.5,987.0,2
0.2,2.16,18.7,636.0,0
0.23,2.14,22.28,780.0,1
0.35,2.02,24.54,1080.0,2
0.31,2.12,17.18,739.0,0
0.34,2.05,19.9,856.0,1
0.32,2.18,25.21,832.0,2
0.31,2.26,17.0,646.0,0
0.31,2.19,20.15,786.0,1
0.31,1.99,32.08,802.0,2
0.33,2.18,25.06,727.0,0
0.31,2.0,27.77,750.0,1
0.43,1.96,29.73,1130.0,2
0.4,2.26,22.28,713.0,0
0.38,2.08,27.03,838.0,1
0.2,2.27,19.05,743.0,2
0.13,2.54,14.42,476.0,0
0.17,2.33,18.0,630.0,1
0.29,2.25,19.93,917.0,2
0.31,2.52,17.13,617.0,0
0.29,2.29,19.39,737.0,1
0.22,2.25,25.6,717.0,2
0.15,2.34,18.0,504.0,0
0.2,2.24,22.44,651.0,1
0.41,2.5,19.91,737.0,2
0.4,2.74,17.8,463.0,0
0.43,2.63,19.5,585.0,1
0.25,2.15,30.8,801.0,2
0.25,2.33,27.39,630.0,0
0.27,2.19,29.48,737.0,1
0.28,2.24,26.28,841.0,2
0.27,2.44,19.75,711.0,0
0.28,2.27,25.12,779.0,1
0.21,2.17,29.53,886.0,2
0.25,2.38,21.46,558.0,0
0.21,2.22,24.67,765.0,1
0.38,2.21,26.2,1022.0,2
0.39,2.42,19.78,653.0,0
0.39,2.25,22.89,870.0,1
0.41,1.86,31.95,639.0,2
0.34,2.19,19.81,436.0,0
0.35,2.05,22.48,562.0,1
0.22,2.24,29.66,979.0,2
0.24,2.47,21.08,717.0,0
0.24,2.32,24.96,824.0,1
0.23,1.88,24.02,817.0,2
0.22,2.13,19.84,635.0,0
0.25,1.96,22.76,774.0,1
0.28,2.2,21.14,740.0,2
0.24,2.23,17.9,573.0,0
0.25,2.19,20.39,673.0,1
0.21,2.1,22.53,1104.0,2
0.2,2.28,18.59,688.0,0
0.19,2.19,19.97,839.0,1
0.25,2.06,27.09,894.0,2
0.2,2.2,20.65,537.0,0
0.22,2.08,25.5,714.0,1
0.29,2.18,19.36,697.0,2
0.26,2.4,15.85,428.0,0
0.3,2.28,19.1,554.0,1
0.22,2.03,21.79,1155.0,2
0.27,2.19,17.24,776.0,0
0.25,2.1,18.33,880.0,1
0.28,2.03,33.44,970.0,2
0.27,2.28,18.42,645.0,0
0.29,2.15,22.11,796.0,1
0.18,1.97,32.64,1110.0,2
0.22,2.05,24.73,643.0,0
0.19,2.01,27.93,866.0,1
0.21,2.1,23.72,783.0,2
0.13,2.28,20.26,466.0,0
0.21,2.17,22.7,613.0,1
0.28,2.52,19.32,831.0,2
0.17,2.88,17.86,411.0,0
0.25,2.59,20.38,734.0,1
0.24,2.05,18.29,567.0,2
0.31,2.36,16.11,419.0,0
0.28,2.13,16.61,515.0,1
0.3,2.29,28.65,1089.0,2
0.35,2.35,19.0,722.0,0
0.35,2.3,25.73,875.0,1
0.27,2.23,23.65,899.0,2
0.25,2.21,18.71,524.0,0
0.26,2.27,21.5,688.0,1
0.24,2.19,20.09,824.0,2
0.25,2.37,13.67,547.0,0
0.28,2.28,16.24,601.0,1
0.28,2.26,24.22,969.0,2
0.31,2.51,17.94,646.0,0
0.33,2.38,21.47,773.0,1
0.11,2.53,22.63,1177.0,2
0.14,2.69,18.2,637.0,0
0.13,2.59,20.28,913.0,1
0.2,2.21,27.55,1102.0,2
0.21,2.38,19.37,717.0,0
0.21,2.31,23.84,906.0,1
0.34,2.06,24.13,869.0,2
0.33,2.2,16.88,591.0,0
0.3,2.1,23.21,766.0,1
0.17,2.05,23.95,958.0,2
0.21,2.24,17.73,408.0,0
0.18,2.1,22.8,821.0,1
0.29,2.23,22.07,1236.0,2
0.25,2.36,19.82,793.0,0
0.3,2.24,20.24,992.0,1
0.25,2.23,23.93,1388.0,2
0.2,2.55,20.77,831.0,0
0.24,2.37,21.93,1053.0,1
0.33,2.25,29.89,1106.0,2
0.45,2.77,22.06,706.0,0
0.34,2.38,24.23,824.0,1
0.26,2.51,19.51,1171.0,2
0.34,2.73,15.72,676.0,0
0.29,2.59,19.02,894.0,1
0.38,2.38,21.25,999.0,2
0.38,2.67,16.71,535.0,0
0.41,2.49,18.88,812.0,1
0.35,2.22,22.18,1065.0,2
0.45,2.41,16.85,708.0,0
0.37,2.31,18.91,889.0,1
0.27,2.17,26.4,1162.0,2
0.37,2.56,17.02,681.0,0
0.29,2.28,25.51,842.0,1
0.21,2.09,24.29,1069.0,2
0.27,2.3,18.75,619.0,0
0.24,2.18,20.73,850.0,1
0.26,2.22,24.41,1123.0,2
0.27,2.3,17.3,623.0,0
0.23,2.19,21.87,853.0,1
0.19,2.35,26.03,833.0,2
0.27,2.52,21.71,608.0,0
0.17,2.42,23.67,734.0,1
0.29,2.23,27.41,658.0,2
0.38,2.54,19.0,475.0,0
0.34,2.36,22.25,623.0,1
0.22,2.27,20.26,689.0,2
0.26,2.37,18.7,580.0,0
0.25,2.35,19.93,658.0,1
0.37,2.27,24.55,1056.0,2
0.31,2.39,18.08,633.0,0
0.4,2.33,22.28,869.0,1
0.28,2.42,26.42,1295.0,2
0.24,2.52,17.25,690.0,0
0.27,2.42,21.46,837.0,1
0.23,2.2,22.79,889.0,2
0.21,2.21,17.92,717.0,0
0.2,2.24,20.35,794.0,1
0.24,2.12,22.16,1086.0,2
0.18,2.18,18.45,683.0,0
0.25,2.13,22.9,916.0,1
0.23,2.32,18.45,646.0,2
0.17,2.3,17.13,394.0,0
0.22,2.27,17.21,551.0,1
0.32,2.13,26.65,773.0,2
0.29,2.3,23.23,697.0,0
0.3,2.2,24.65,715.0,1
0.37,2.18,23.85,1002.0,2
0.37,2.44,19.0,798.0,0
0.38,2.25,21.76,914.0,1
0.34,1.99,32.77,885.0,2
0.35,1.99,22.52,518.0,0
0.28,1.97,27.11,705.0,1
0.28,1.78,25.06,752.0,2
0.29,1.99,20.0,580.0,0
0.27,1.83,21.89,613.0,1
