MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,TRAD_numSyll,Word_numWords,readinglevel
0.2,2.49,22.9,1.3,939.0,2
0.21,2.76,16.96,1.16,526.0,0
0.21,2.61,20.36,1.23,733.0,1
0.26,2.1,22.45,1.41,786.0,2
0.29,2.2,18.17,1.32,709.0,0
0.27,2.14,20.69,1.37,745.0,1
0.3,2.28,32.0,1.25,1056.0,2
0.28,2.45,21.36,1.18,769.0,0
0.32,2.34,26.27,1.25,867.0,1
0.3,2.36,25.52,1.25,1072.0,2
0.3,2.52,21.71,1.23,695.0,0
0.28,2.42,23.62,1.23,827.0,1
0.31,2.33,24.52,1.26,1030.0,2
0.33,2.54,18.12,1.18,743.0,0
0.33,2.35,20.97,1.25,860.0,1
0.22,2.12,30.0,1.39,1110.0,2
0.21,2.37,17.65,1.28,671.0,0
0.22,2.2,27.31,1.36,792.0,1
0.41,1.95,26.8,1.44,831.0,2
0.47,2.04,22.5,1.42,450.0,0
0.45,1.99,22.56,1.42,722.0,1
0.29,2.07,19.05,1.56,1010.0,2
0.22,2.5,15.9,1.54,525.0,0
0.32,2.24,18.27,1.5,859.0,1
0.34,2.13,23.02,1.44,1013.0,2
0.29,2.32,22.09,1.36,464.0,0
0.3,2.24,20.45,1.39,757.0,1
0.32,2.09,22.97,1.46,965.0,2
0.29,2.35,17.47,1.36,629.0,0
0.36,2.27,20.57,1.42,823.0,1
0.27,1.87,23.31,1.56,1026.0,2
0.25,2.12,18.12,1.47,580.0,0
0.26,2.01,21.91,1.52,811.0,1
0.38,2.2,29.57,1.46,976.0,2
0.39,2.42,19.67,1.35,610.0,0
0.39,2.31,25.03,1.43,801.0,1
0.3,1.99,24.96,1.47,649.0,2
0.33,2.22,16.07,1.33,418.0,0
0.33,2.07,19.11,1.4,497.0,1
0.29,2.1,25.45,1.48,840.0,2
0.31,2.0,19.77,1.47,613.0,0
0.32,2.08,24.96,1.47,774.0,1
0.19,2.56,23.46,1.09,704.0,2
0.17,2.55,18.45,1.05,646.0,0
0.16,2.55,22.61,1.07,701.0,1
0.25,2.42,20.69,1.35,952.0,2
0.27,2.58,18.0,1.31,684.0,0
0.24,2.48,17.48,1.35,857.0,1
0.36,2.04,26.9,1.48,888.0,2
0.39,2.19,18.06,1.43,578.0,0
0.37,2.09,23.96,1.43,719.0,1
0.24,2.23,22.95,1.31,964.0,2
0.22,2.43,18.27,1.24,676.0,0
0.25,2.27,19.9,1.3,816.0,1
0.29,2.04,27.91,1.56,1033.0,2
0.3,2.2,18.87,1.54,736.0,0
0.31,2.12,22.45,1.57,831.0,1
0.25,2.01,30.68,1.46,675.0,2
0.23,2.06,22.62,1.49,543.0,0
0.22,2.02,28.08,1.47,646.0,1
0.34,2.42,20.25,1.44,891.0,2
0.24,2.81,16.38,1.22,426.0,0
0.32,2.56,20.18,1.39,767.0,1
0.28,2.23,27.03,1.42,838.0,2
0.31,2.47,22.0,1.38,374.0,0
0.29,2.3,23.39,1.42,655.0,1
0.3,1.96,24.53,1.58,1006.0,2
0.25,2.38,19.44,1.41,525.0,0
0.3,2.22,21.32,1.48,661.0,1
0.37,2.17,22.45,1.37,1033.0,2
0.31,2.32,17.32,1.26,693.0,0
0.32,2.17,20.87,1.35,856.0,1
0.19,2.42,18.15,1.23,817.0,2
0.16,2.53,15.36,1.15,630.0,0
0.15,2.46,15.55,1.19,731.0,1
0.21,2.15,27.03,1.51,784.0,2
0.23,2.42,20.7,1.4,559.0,0
0.26,2.25,22.37,1.49,716.0,1
0.32,2.23,18.51,1.44,963.0,2
0.3,2.42,17.04,1.43,716.0,0
0.31,2.32,17.71,1.47,815.0,1
0.33,1.84,28.57,1.55,800.0,2
0.29,2.1,19.71,1.4,631.0,0
0.35,1.91,22.54,1.47,744.0,1
0.24,2.34,27.1,1.23,1030.0,2
0.21,2.54,16.43,1.15,756.0,0
0.2,2.43,22.83,1.22,959.0,1
0.24,1.91,19.55,1.49,1017.0,2
0.19,2.06,15.97,1.44,591.0,0
0.2,1.99,19.52,1.47,859.0,1
0.26,2.48,18.74,1.41,731.0,2
0.28,2.67,14.51,1.32,595.0,0
0.28,2.53,16.14,1.37,678.0,1
0.19,2.37,25.03,1.31,751.0,2
0.25,2.68,19.37,1.21,562.0,0
0.21,2.44,22.07,1.3,618.0,1
0.19,2.02,24.58,1.55,836.0,2
0.18,2.34,16.06,1.43,482.0,0
0.18,2.22,21.02,1.47,715.0,1
0.24,2.28,22.39,1.39,851.0,2
0.26,2.42,16.8,1.35,521.0,0
0.21,2.43,19.16,1.35,709.0,1
0.36,2.01,24.08,1.42,1132.0,2
0.21,2.12,17.0,1.29,425.0,0
0.33,2.12,20.72,1.38,684.0,1
0.19,1.99,23.9,1.47,741.0,2
0.21,2.08,19.11,1.4,650.0,0
0.22,2.02,21.6,1.45,713.0,1
0.33,2.12,22.74,1.42,1342.0,2
0.27,2.2,18.82,1.25,885.0,0
0.33,2.18,20.64,1.34,1156.0,1
0.29,2.4,31.56,1.28,789.0,2
0.31,2.75,18.87,1.16,604.0,0
0.28,2.5,25.0,1.27,700.0,1
0.2,1.95,20.85,1.5,709.0,2
0.14,1.97,17.82,1.34,410.0,0
0.19,1.98,18.61,1.42,484.0,1
0.27,1.99,30.78,1.59,862.0,2
0.2,2.08,20.19,1.55,626.0,0
0.23,2.01,26.11,1.56,679.0,1
0.21,2.77,18.02,1.24,811.0,2
0.21,2.89,14.83,1.18,712.0,0
0.22,2.8,17.04,1.22,750.0,1
0.29,2.1,28.96,1.4,782.0,2
0.29,2.25,20.0,1.35,580.0,0
0.28,2.17,27.23,1.4,708.0,1
0.21,2.4,21.36,1.32,983.0,2
0.22,2.61,17.21,1.27,654.0,0
0.2,2.46,20.02,1.29,821.0,1
0.42,2.0,27.4,1.55,822.0,2
0.35,2.15,22.07,1.49,618.0,0
0.44,2.04,25.71,1.53,720.0,1
0.3,2.38,25.21,1.25,1059.0,2
0.34,2.63,22.45,1.21,696.0,0
0.34,2.46,23.81,1.25,905.0,1
0.34,2.54,21.36,1.29,1068.0,2
0.32,2.7,17.1,1.25,787.0,0
0.37,2.61,20.04,1.28,882.0,1
0.29,1.87,23.04,1.37,1129.0,2
0.3,2.03,18.22,1.24,565.0,0
0.3,1.95,19.72,1.32,927.0,1
0.28,2.26,23.11,1.34,1549.0,2
0.3,2.38,16.37,1.27,1015.0,0
0.3,2.28,21.87,1.35,1225.0,1
0.24,2.11,26.6,1.52,798.0,2
0.18,2.19,20.09,1.4,623.0,0
0.23,2.17,23.79,1.49,690.0,1
0.28,1.94,29.09,1.51,611.0,2
0.26,2.12,17.8,1.49,374.0,0
0.26,2.05,20.95,1.51,503.0,1
0.23,2.18,32.96,1.32,824.0,2
0.23,2.42,21.93,1.29,658.0,0
0.19,2.23,26.84,1.33,698.0,1
0.21,2.0,27.62,1.41,967.0,2
0.23,2.28,19.87,1.32,656.0,0
0.18,2.03,22.7,1.38,840.0,1
0.25,2.22,24.02,1.36,817.0,2
0.27,2.3,19.83,1.27,595.0,0
0.28,2.25,23.39,1.35,655.0,1
0.29,2.06,19.12,1.4,1071.0,2
0.31,2.05,17.02,1.36,630.0,0
0.34,2.06,16.87,1.4,810.0,1
0.21,2.24,29.7,1.4,713.0,2
0.25,2.44,22.53,1.32,631.0,0
0.23,2.3,25.22,1.36,681.0,1
0.31,2.26,22.76,1.41,888.0,2
0.45,2.39,18.25,1.32,639.0,0
0.32,2.32,20.94,1.39,754.0,1
0.27,2.1,26.37,1.37,633.0,2
0.25,2.22,21.62,1.3,519.0,0
0.26,2.14,25.54,1.36,613.0,1
0.21,2.3,19.58,1.28,1234.0,2
0.19,2.67,17.23,1.13,793.0,0
0.21,2.45,20.15,1.23,927.0,1
0.33,2.04,21.84,1.5,830.0,2
0.34,2.2,19.07,1.41,763.0,0
0.34,2.04,21.4,1.46,792.0,1
0.23,2.18,20.96,1.33,671.0,2
0.22,2.26,18.46,1.31,591.0,0
0.21,2.23,18.93,1.31,625.0,1
0.26,2.16,25.81,1.4,568.0,2
0.25,2.38,20.77,1.3,457.0,0
0.23,2.19,23.04,1.36,553.0,1
0.38,2.17,30.75,1.33,892.0,2
0.41,2.26,19.8,1.27,495.0,0
0.37,2.2,23.92,1.3,598.0,1
0.27,2.11,26.67,1.48,747.0,2
0.29,2.24,17.84,1.38,464.0,0
0.29,2.29,21.16,1.43,635.0,1
0.26,2.1,30.36,1.31,911.0,2
0.3,2.32,22.79,1.19,547.0,0
0.25,2.29,28.04,1.24,701.0,1
0.26,2.3,25.3,1.26,1012.0,2
0.24,2.35,18.72,1.23,543.0,0
0.27,2.34,22.25,1.27,801.0,1
0.31,2.29,28.51,1.37,998.0,2
0.29,2.6,17.62,1.26,705.0,0
0.31,2.46,21.86,1.3,787.0,1
0.34,2.19,29.15,1.27,379.0,2
0.46,2.42,20.78,1.24,291.0,0
0.31,2.23,24.71,1.26,346.0,1
0.38,2.21,24.53,1.47,1055.0,2
0.31,2.45,21.5,1.43,559.0,0
0.31,2.26,22.88,1.47,778.0,1
0.33,2.12,25.22,1.55,782.0,2
0.34,2.33,18.87,1.48,585.0,0
0.36,2.15,22.54,1.53,699.0,1
0.36,1.94,29.92,1.4,1227.0,2
0.42,2.15,17.89,1.24,662.0,0
0.42,1.99,25.45,1.36,891.0,1
0.19,2.2,25.82,1.41,1059.0,2
0.15,2.36,25.03,1.3,701.0,0
0.17,2.19,25.08,1.37,878.0,1
0.22,2.1,29.73,1.37,773.0,2
0.19,2.3,17.64,1.21,441.0,0
0.18,2.2,21.62,1.29,627.0,1
0.25,2.33,21.09,1.3,1139.0,2
0.26,2.5,18.05,1.27,704.0,0
0.26,2.32,19.76,1.31,909.0,1
0.35,2.29,21.29,1.36,873.0,2
0.33,2.33,15.96,1.28,447.0,0
0.3,2.33,19.56,1.38,802.0,1
0.23,2.01,25.11,1.39,1281.0,2
0.18,2.22,19.55,1.32,528.0,0
0.23,2.12,22.41,1.37,874.0,1
0.3,2.03,29.94,1.52,569.0,2
0.37,2.39,20.94,1.43,356.0,0
0.33,2.12,24.45,1.52,489.0,1
0.3,2.15,24.36,1.39,1145.0,2
0.31,2.2,20.33,1.34,732.0,0
0.32,2.13,21.42,1.38,900.0,1
0.3,2.42,26.51,1.16,1087.0,2
0.32,2.53,18.84,1.1,716.0,0
0.31,2.5,23.26,1.14,884.0,1
0.3,2.09,21.82,1.32,1004.0,2
0.28,2.2,18.45,1.26,646.0,0
0.31,2.17,19.8,1.31,891.0,1
0.24,2.34,22.6,1.31,1130.0,2
0.22,2.45,16.84,1.25,657.0,0
0.24,2.33,20.36,1.28,937.0,1
0.29,1.83,26.09,1.63,574.0,2
0.21,2.05,14.37,1.39,417.0,0
0.29,1.94,20.76,1.57,519.0,1
0.31,2.33,29.86,1.38,866.0,2
0.35,2.47,20.52,1.3,513.0,0
0.33,2.32,25.56,1.33,767.0,1
0.33,2.46,19.37,1.33,872.0,2
0.34,2.63,16.5,1.26,561.0,0
0.34,2.52,17.54,1.31,807.0,1
0.32,2.12,15.22,1.34,1233.0,2
0.23,2.36,14.52,1.22,726.0,0
0.32,2.24,14.86,1.27,1026.0,1
0.27,2.09,23.5,1.48,987.0,2
0.2,2.16,18.7,1.4,636.0,0
0.23,2.14,22.28,1.47,780.0,1
0.35,2.02,24.54,1.31,1080.0,2
0.31,2.12,17.18,1.2,739.0,0
0.34,2.05,19.9,1.27,856.0,1
0.32,2.18,25.21,1.31,832.0,2
0.31,2.26,17.0,1.28,646.0,0
0.31,2.19,20.15,1.28,786.0,1
0.31,1.99,32.08,1.41,802.0,2
0.33,2.18,25.06,1.26,727.0,0
0.31,2.0,27.77,1.39,750.0,1
0.43,1.96,29.73,1.52,1130.0,2
0.4,2.26,22.28,1.34,713.0,0
0.38,2.08,27.03,1.41,838.0,1
0.2,2.27,19.05,1.28,743.0,2
0.13,2.54,14.42,1.21,476.0,0
0.17,2.33,18.0,1.28,630.0,1
0.29,2.25,19.93,1.36,917.0,2
0.31,2.52,17.13,1.29,617.0,0
0.29,2.29,19.39,1.34,737.0,1
0.22,2.25,25.6,1.42,717.0,2
0.15,2.34,18.0,1.36,504.0,0
0.2,2.24,22.44,1.42,651.0,1
0.41,2.5,19.91,1.38,737.0,2
0.4,2.74,17.8,1.19,463.0,0
0.43,2.63,19.5,1.25,585.0,1
0.25,2.15,30.8,1.37,801.0,2
0.25,2.33,27.39,1.33,630.0,0
0.27,2.19,29.48,1.39,737.0,1
0.28,2.24,26.28,1.29,841.0,2
0.27,2.44,19.75,1.23,711.0,0
0.28,2.27,25.12,1.28,779.0,1
0.21,2.17,29.53,1.39,886.0,2
0.25,2.38,21.46,1.33,558.0,0
0.21,2.22,24.67,1.37,765.0,1
0.38,2.21,26.2,1.31,1022.0,2
0.39,2.42,19.78,1.24,653.0,0
0.39,2.25,22.89,1.27,870.0,1
0.41,1.86,31.95,1.45,639.0,2
0.34,2.19,19.81,1.27,436.0,0
0.35,2.05,22.48,1.35,562.0,1
0.22,2.24,29.66,1.36,979.0,2
0.24,2.47,21.08,1.29,717.0,0
0.24,2.32,24.96,1.33,824.0,1
0.23,1.88,24.02,1.37,817.0,2
0.22,2.13,19.84,1.26,635.0,0
0.25,1.96,22.76,1.32,774.0,1
0.28,2.2,21.14,1.32,740.0,2
0.24,2.23,17.9,1.3,573.0,0
0.25,2.19,20.39,1.3,673.0,1
0.21,2.1,22.53,1.44,1104.0,2
0.2,2.28,18.59,1.41,688.0,0
0.19,2.19,19.97,1.43,839.0,1
0.25,2.06,27.09,1.54,894.0,2
0.2,2.2,20.65,1.48,537.0,0
0.22,2.08,25.5,1.56,714.0,1
0.29,2.18,19.36,1.35,697.0,2
0.26,2.4,15.85,1.12,428.0,0
0.3,2.28,19.1,1.29,554.0,1
0.22,2.03,21.79,1.34,1155.0,2
0.27,2.19,17.24,1.26,776.0,0
0.25,2.1,18.33,1.3,880.0,1
0.28,2.03,33.44,1.38,970.0,2
0.27,2.28,18.42,1.26,645.0,0
0.29,2.15,22.11,1.29,796.0,1
0.18,1.97,32.64,1.53,1110.0,2
0.22,2.05,24.73,1.49,643.0,0
0.19,2.01,27.93,1.54,866.0,1
0.21,2.1,23.72,1.42,783.0,2
0.13,2.28,20.26,1.33,466.0,0
0.21,2.17,22.7,1.37,613.0,1
0.28,2.52,19.32,1.31,831.0,2
0.17,2.88,17.86,1.2,411.0,0
0.25,2.59,20.38,1.27,734.0,1
0.24,2.05,18.29,1.47,567.0,2
0.31,2.36,16.11,1.36,419.0,0
0.28,2.13,16.61,1.49,515.0,1
0.3,2.29,28.65,1.29,1089.0,2
0.35,2.35,19.0,1.26,722.0,0
0.35,2.3,25.73,1.25,875.0,1
0.27,2.23,23.65,1.26,899.0,2
0.25,2.21,18.71,1.21,524.0,0
0.26,2.27,21.5,1.2,688.0,1
0.24,2.19,20.09,1.3,824.0,2
0.25,2.37,13.67,1.23,547.0,0
0.28,2.28,16.24,1.31,601.0,1
0.28,2.26,24.22,1.18,969.0,2
0.31,2.51,17.94,1.15,646.0,0
0.33,2.38,21.47,1.15,773.0,1
0.11,2.53,22.63,1.32,1177.0,2
0.14,2.69,18.2,1.27,637.0,0
0.13,2.59,20.28,1.28,913.0,1
0.2,2.21,27.55,1.28,1102.0,2
0.21,2.38,19.37,1.18,717.0,0
0.21,2.31,23.84,1.23,906.0,1
0.34,2.06,24.13,1.48,869.0,2
0.33,2.2,16.88,1.45,591.0,0
0.3,2.1,23.21,1.48,766.0,1
0.17,2.05,23.95,1.46,958.0,2
0.21,2.24,17.73,1.36,408.0,0
0.18,2.1,22.8,1.44,821.0,1
0.29,2.23,22.07,1.29,1236.0,2
0.25,2.36,19.82,1.21,793.0,0
0.3,2.24,20.24,1.24,992.0,1
0.25,2.23,23.93,1.43,1388.0,2
0.2,2.55,20.77,1.38,831.0,0
0.24,2.37,21.93,1.43,1053.0,1
0.33,2.25,29.89,1.42,1106.0,2
0.45,2.77,22.06,1.19,706.0,0
0.34,2.38,24.23,1.37,824.0,1
0.26,2.51,19.51,1.25,1171.0,2
0.34,2.73,15.72,1.21,676.0,0
0.29,2.59,19.02,1.26,894.0,1
0.38,2.38,21.25,1.4,999.0,2
0.38,2.67,16.71,1.22,535.0,0
0.41,2.49,18.88,1.34,812.0,1
0.35,2.22,22.18,1.39,1065.0,2
0.45,2.41,16.85,1.38,708.0,0
0.37,2.31,18.91,1.35,889.0,1
0.27,2.17,26.4,1.46,1162.0,2
0.37,2.56,17.02,1.3,681.0,0
0.29,2.28,25.51,1.41,842.0,1
0.21,2.09,24.29,1.39,1069.0,2
0.27,2.3,18.75,1.27,619.0,0
0.24,2.18,20.73,1.33,850.0,1
0.26,2.22,24.41,1.27,1123.0,2
0.27,2.3,17.3,1.26,623.0,0
0.23,2.19,21.87,1.27,853.0,1
0.19,2.35,26.03,1.46,833.0,2
0.27,2.52,21.71,1.43,608.0,0
0.17,2.42,23.67,1.48,734.0,1
0.29,2.23,27.41,1.48,658.0,2
0.38,2.54,19.0,1.3,475.0,0
0.34,2.36,22.25,1.41,623.0,1
0.22,2.27,20.26,1.28,689.0,2
0.26,2.37,18.7,1.23,580.0,0
0.25,2.35,19.93,1.25,658.0,1
0.37,2.27,24.55,1.41,1056.0,2
0.31,2.39,18.08,1.26,633.0,0
0.4,2.33,22.28,1.36,869.0,1
0.28,2.42,26.42,1.23,1295.0,2
0.24,2.52,17.25,1.12,690.0,0
0.27,2.42,21.46,1.2,837.0,1
0.23,2.2,22.79,1.23,889.0,2
0.21,2.21,17.92,1.26,717.0,0
0.2,2.24,20.35,1.23,794.0,1
0.24,2.12,22.16,1.42,1086.0,2
0.18,2.18,18.45,1.42,683.0,0
0.25,2.13,22.9,1.41,916.0,1
0.23,2.32,18.45,1.36,646.0,2
0.17,2.3,17.13,1.22,394.0,0
0.22,2.27,17.21,1.35,551.0,1
0.32,2.13,26.65,1.41,773.0,2
0.29,2.3,23.23,1.31,697.0,0
0.3,2.2,24.65,1.37,715.0,1
0.37,2.18,23.85,1.54,1002.0,2
0.37,2.44,19.0,1.45,798.0,0
0.38,2.25,21.76,1.53,914.0,1
0.34,1.99,32.77,1.42,885.0,2
0.35,1.99,22.52,1.47,518.0,0
0.28,1.97,27.11,1.47,705.0,1
0.28,1.78,25.06,1.59,752.0,2
0.29,1.99,20.0,1.44,580.0,0
0.27,1.83,21.89,1.57,613.0,1
