MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,TRAD_numSyll,Word_TTR,Word_numWords,readinglevel
0.18,2.45,18.37,1.18,0.45,790.0,1
0.39,2.1,30.76,1.56,0.45,769.0,2
0.35,2.41,22.04,1.36,0.46,463.0,0
0.42,2.16,24.66,1.47,0.45,592.0,1
0.26,2.27,17.14,1.23,0.38,1149.0,2
0.3,2.27,14.58,1.19,0.39,744.0,0
0.28,2.29,14.79,1.2,0.38,917.0,1
0.49,2.19,21.21,1.44,0.4,870.0,2
0.65,2.39,17.88,1.34,0.44,447.0,0
0.52,2.3,19.91,1.39,0.42,677.0,1
0.32,2.06,24.28,1.44,0.44,923.0,2
0.29,2.24,17.6,1.34,0.42,528.0,0
0.3,2.09,20.28,1.43,0.43,791.0,1
0.29,1.88,32.05,1.41,0.39,1090.0,2
0.26,2.03,19.05,1.2,0.36,724.0,0
0.29,1.95,23.41,1.31,0.39,796.0,1
0.21,2.24,24.27,1.42,0.48,874.0,2
0.26,2.46,19.85,1.34,0.44,675.0,0
0.23,2.27,22.44,1.39,0.46,763.0,1
0.25,2.46,16.95,1.36,0.4,1102.0,2
0.2,2.59,15.24,1.31,0.38,762.0,0
0.25,2.52,15.6,1.35,0.41,874.0,1
0.37,1.78,27.74,1.53,0.5,860.0,2
0.35,1.97,21.95,1.48,0.52,461.0,0
0.36,1.86,26.68,1.52,0.49,667.0,1
0.25,2.2,21.39,1.39,0.45,1134.0,2
0.29,2.29,15.3,1.39,0.44,704.0,0
0.31,2.25,16.96,1.41,0.45,916.0,1
0.27,1.91,27.53,1.45,0.46,716.0,2
0.35,2.21,20.06,1.3,0.47,301.0,0
0.31,1.99,22.83,1.36,0.48,411.0,1
0.25,2.02,27.81,1.42,0.43,918.0,2
0.28,2.19,19.58,1.3,0.38,666.0,0
0.25,2.09,23.4,1.34,0.42,749.0,1
0.27,2.36,23.84,1.37,0.38,1097.0,2
0.29,2.66,20.79,1.27,0.38,707.0,0
0.28,2.5,22.62,1.34,0.39,905.0,1
0.29,2.08,25.39,1.48,0.45,965.0,2
0.29,2.28,18.5,1.34,0.47,481.0,0
0.31,2.24,21.04,1.39,0.42,863.0,1
0.27,2.21,25.28,1.37,0.43,961.0,2
0.27,2.33,19.37,1.29,0.42,717.0,0
0.26,2.25,22.35,1.36,0.42,894.0,1
0.35,2.2,25.8,1.3,0.4,1058.0,2
0.27,2.26,20.92,1.26,0.41,565.0,0
0.34,2.22,24.23,1.3,0.42,727.0,1
0.26,1.92,23.4,1.39,0.43,702.0,2
0.25,2.02,19.55,1.41,0.41,528.0,0
0.26,1.97,22.24,1.39,0.43,645.0,1
0.25,2.34,23.21,1.37,0.45,882.0,2
0.22,2.55,19.6,1.25,0.43,588.0,0
0.25,2.39,22.31,1.34,0.43,848.0,1
0.34,2.07,22.21,1.41,0.47,844.0,2
0.27,2.42,15.84,1.27,0.46,523.0,0
0.29,2.19,19.85,1.38,0.46,695.0,1
0.26,2.15,24.22,1.38,0.41,751.0,2
0.25,2.33,21.41,1.3,0.42,514.0,0
0.28,2.19,22.77,1.35,0.42,615.0,1
0.31,2.08,28.0,1.51,0.46,700.0,2
0.32,2.26,20.9,1.44,0.44,418.0,0
0.33,2.27,22.11,1.49,0.45,575.0,1
0.52,1.82,27.13,1.6,0.4,1004.0,2
0.57,2.13,18.44,1.39,0.42,535.0,0
0.52,1.9,23.58,1.53,0.42,731.0,1
0.41,1.77,26.2,1.56,0.37,1048.0,2
0.35,2.01,25.28,1.42,0.38,632.0,0
0.4,1.91,25.38,1.51,0.36,863.0,1
0.33,2.44,21.73,1.38,0.42,1065.0,2
0.29,2.55,20.0,1.32,0.47,540.0,0
0.34,2.57,19.35,1.34,0.43,813.0,1
0.22,1.91,22.75,1.46,0.47,637.0,2
0.22,2.12,19.33,1.41,0.44,580.0,0
0.23,2.02,21.27,1.42,0.46,617.0,1
0.28,2.43,18.87,1.26,0.41,1057.0,2
0.32,2.58,17.31,1.17,0.41,814.0,0
0.3,2.51,17.35,1.21,0.4,937.0,1
0.27,2.16,25.48,1.44,0.41,1096.0,2
0.24,2.3,21.12,1.28,0.45,528.0,0
0.28,2.26,23.44,1.42,0.43,797.0,1
0.3,2.08,27.6,1.62,0.44,911.0,2
0.29,2.42,23.45,1.53,0.43,563.0,0
0.33,2.15,26.58,1.62,0.45,771.0,1
0.42,2.15,23.58,1.32,0.39,849.0,2
0.36,2.37,22.39,1.26,0.41,515.0,0
0.42,2.15,23.86,1.31,0.4,692.0,1
0.23,2.37,25.19,1.21,0.41,1033.0,2
0.27,2.39,18.6,1.14,0.4,707.0,0
0.22,2.37,21.16,1.19,0.42,783.0,1
0.2,2.49,22.9,1.3,0.39,939.0,2
0.21,2.76,16.96,1.16,0.4,526.0,0
0.21,2.61,20.36,1.23,0.39,733.0,1
0.26,2.1,22.45,1.41,0.43,786.0,2
0.29,2.2,18.17,1.32,0.38,709.0,0
0.27,2.14,20.69,1.37,0.41,745.0,1
0.3,2.28,32.0,1.25,0.42,1056.0,2
0.28,2.45,21.36,1.18,0.39,769.0,0
0.32,2.34,26.27,1.25,0.42,867.0,1
0.3,2.36,25.52,1.25,0.39,1072.0,2
0.3,2.52,21.71,1.23,0.39,695.0,0
0.28,2.42,23.62,1.23,0.39,827.0,1
0.31,2.33,24.52,1.26,0.43,1030.0,2
0.33,2.54,18.12,1.18,0.42,743.0,0
0.33,2.35,20.97,1.25,0.44,860.0,1
0.22,2.12,30.0,1.39,0.45,1110.0,2
0.21,2.37,17.65,1.28,0.42,671.0,0
0.22,2.2,27.31,1.36,0.46,792.0,1
0.41,1.95,26.8,1.44,0.47,831.0,2
0.47,2.04,22.5,1.42,0.49,450.0,0
0.45,1.99,22.56,1.42,0.48,722.0,1
0.29,2.07,19.05,1.56,0.41,1010.0,2
0.22,2.5,15.9,1.54,0.4,525.0,0
0.32,2.24,18.27,1.5,0.39,859.0,1
0.34,2.13,23.02,1.44,0.41,1013.0,2
0.29,2.32,22.09,1.36,0.44,464.0,0
0.3,2.24,20.45,1.39,0.41,757.0,1
0.32,2.09,22.97,1.46,0.53,965.0,2
0.29,2.35,17.47,1.36,0.48,629.0,0
0.36,2.27,20.57,1.42,0.5,823.0,1
0.27,1.87,23.31,1.56,0.46,1026.0,2
0.25,2.12,18.12,1.47,0.46,580.0,0
0.26,2.01,21.91,1.52,0.45,811.0,1
0.38,2.2,29.57,1.46,0.48,976.0,2
0.39,2.42,19.67,1.35,0.44,610.0,0
0.39,2.31,25.03,1.43,0.45,801.0,1
0.3,1.99,24.96,1.47,0.5,649.0,2
0.33,2.22,16.07,1.33,0.52,418.0,0
0.33,2.07,19.11,1.4,0.52,497.0,1
0.29,2.1,25.45,1.48,0.39,840.0,2
0.31,2.0,19.77,1.47,0.38,613.0,0
0.32,2.08,24.96,1.47,0.39,774.0,1
0.19,2.56,23.46,1.09,0.36,704.0,2
0.17,2.55,18.45,1.05,0.35,646.0,0
0.16,2.55,22.61,1.07,0.34,701.0,1
0.25,2.42,20.69,1.35,0.41,952.0,2
0.27,2.58,18.0,1.31,0.41,684.0,0
0.24,2.48,17.48,1.35,0.41,857.0,1
0.36,2.04,26.9,1.48,0.43,888.0,2
0.39,2.19,18.06,1.43,0.42,578.0,0
0.37,2.09,23.96,1.43,0.45,719.0,1
0.24,2.23,22.95,1.31,0.39,964.0,2
0.22,2.43,18.27,1.24,0.37,676.0,0
0.25,2.27,19.9,1.3,0.38,816.0,1
0.29,2.04,27.91,1.56,0.44,1033.0,2
0.3,2.2,18.87,1.54,0.41,736.0,0
0.31,2.12,22.45,1.57,0.43,831.0,1
0.25,2.01,30.68,1.46,0.41,675.0,2
0.23,2.06,22.62,1.49,0.4,543.0,0
0.22,2.02,28.08,1.47,0.41,646.0,1
0.34,2.42,20.25,1.44,0.4,891.0,2
0.24,2.81,16.38,1.22,0.42,426.0,0
0.32,2.56,20.18,1.39,0.39,767.0,1
0.28,2.23,27.03,1.42,0.47,838.0,2
0.31,2.47,22.0,1.38,0.5,374.0,0
0.29,2.3,23.39,1.42,0.46,655.0,1
0.3,1.96,24.53,1.58,0.42,1006.0,2
0.25,2.38,19.44,1.41,0.4,525.0,0
0.3,2.22,21.32,1.48,0.4,661.0,1
0.37,2.17,22.45,1.37,0.46,1033.0,2
0.31,2.32,17.32,1.26,0.45,693.0,0
0.32,2.17,20.87,1.35,0.48,856.0,1
0.19,2.42,18.15,1.23,0.42,817.0,2
0.16,2.53,15.36,1.15,0.42,630.0,0
0.15,2.46,15.55,1.19,0.4,731.0,1
0.21,2.15,27.03,1.51,0.44,784.0,2
0.23,2.42,20.7,1.4,0.39,559.0,0
0.26,2.25,22.37,1.49,0.44,716.0,1
0.32,2.23,18.51,1.44,0.45,963.0,2
0.3,2.42,17.04,1.43,0.42,716.0,0
0.31,2.32,17.71,1.47,0.45,815.0,1
0.33,1.84,28.57,1.55,0.44,800.0,2
0.29,2.1,19.71,1.4,0.4,631.0,0
0.35,1.91,22.54,1.47,0.44,744.0,1
0.24,2.34,27.1,1.23,0.41,1030.0,2
0.21,2.54,16.43,1.15,0.38,756.0,0
0.2,2.43,22.83,1.22,0.39,959.0,1
0.24,1.91,19.55,1.49,0.43,1017.0,2
0.19,2.06,15.97,1.44,0.45,591.0,0
0.2,1.99,19.52,1.47,0.43,859.0,1
0.26,2.48,18.74,1.41,0.43,731.0,2
0.28,2.67,14.51,1.32,0.41,595.0,0
0.28,2.53,16.14,1.37,0.43,678.0,1
0.19,2.37,25.03,1.31,0.45,751.0,2
0.25,2.68,19.37,1.21,0.43,562.0,0
0.21,2.44,22.07,1.3,0.44,618.0,1
0.19,2.02,24.58,1.55,0.48,836.0,2
0.18,2.34,16.06,1.43,0.47,482.0,0
0.18,2.22,21.02,1.47,0.45,715.0,1
0.24,2.28,22.39,1.39,0.43,851.0,2
0.26,2.42,16.8,1.35,0.43,521.0,0
0.21,2.43,19.16,1.35,0.41,709.0,1
0.36,2.01,24.08,1.42,0.44,1132.0,2
0.21,2.12,17.0,1.29,0.48,425.0,0
0.33,2.12,20.72,1.38,0.48,684.0,1
0.19,1.99,23.9,1.47,0.48,741.0,2
0.21,2.08,19.11,1.4,0.46,650.0,0
0.22,2.02,21.6,1.45,0.47,713.0,1
0.33,2.12,22.74,1.42,0.44,1342.0,2
0.27,2.2,18.82,1.25,0.43,885.0,0
0.33,2.18,20.64,1.34,0.43,1156.0,1
0.29,2.4,31.56,1.28,0.44,789.0,2
0.31,2.75,18.87,1.16,0.41,604.0,0
0.28,2.5,25.0,1.27,0.43,700.0,1
0.2,1.95,20.85,1.5,0.5,709.0,2
0.14,1.97,17.82,1.34,0.5,410.0,0
0.19,1.98,18.61,1.42,0.51,484.0,1
0.27,1.99,30.78,1.59,0.44,862.0,2
0.2,2.08,20.19,1.55,0.43,626.0,0
0.23,2.01,26.11,1.56,0.44,679.0,1
0.21,2.77,18.02,1.24,0.4,811.0,2
0.21,2.89,14.83,1.18,0.38,712.0,0
0.22,2.8,17.04,1.22,0.39,750.0,1
0.29,2.1,28.96,1.4,0.45,782.0,2
0.29,2.25,20.0,1.35,0.43,580.0,0
0.28,2.17,27.23,1.4,0.44,708.0,1
0.21,2.4,21.36,1.32,0.41,983.0,2
0.22,2.61,17.21,1.27,0.44,654.0,0
0.2,2.46,20.02,1.29,0.42,821.0,1
0.42,2.0,27.4,1.55,0.44,822.0,2
0.35,2.15,22.07,1.49,0.43,618.0,0
0.44,2.04,25.71,1.53,0.44,720.0,1
0.3,2.38,25.21,1.25,0.37,1059.0,2
0.34,2.63,22.45,1.21,0.37,696.0,0
0.34,2.46,23.81,1.25,0.37,905.0,1
0.34,2.54,21.36,1.29,0.41,1068.0,2
0.32,2.7,17.1,1.25,0.38,787.0,0
0.37,2.61,20.04,1.28,0.41,882.0,1
0.29,1.87,23.04,1.37,0.41,1129.0,2
0.3,2.03,18.22,1.24,0.45,565.0,0
0.3,1.95,19.72,1.32,0.41,927.0,1
0.28,2.26,23.11,1.34,0.38,1549.0,2
0.3,2.38,16.37,1.27,0.36,1015.0,0
0.3,2.28,21.87,1.35,0.39,1225.0,1
0.24,2.11,26.6,1.52,0.45,798.0,2
0.18,2.19,20.09,1.4,0.39,623.0,0
0.23,2.17,23.79,1.49,0.44,690.0,1
0.28,1.94,29.09,1.51,0.47,611.0,2
0.26,2.12,17.8,1.49,0.47,374.0,0
0.26,2.05,20.95,1.51,0.47,503.0,1
0.23,2.18,32.96,1.32,0.44,824.0,2
0.23,2.42,21.93,1.29,0.39,658.0,0
0.19,2.23,26.84,1.33,0.44,698.0,1
0.21,2.0,27.62,1.41,0.45,967.0,2
0.23,2.28,19.87,1.32,0.42,656.0,0
0.18,2.03,22.7,1.38,0.43,840.0,1
0.25,2.22,24.02,1.36,0.43,817.0,2
0.27,2.3,19.83,1.27,0.42,595.0,0
0.28,2.25,23.39,1.35,0.45,655.0,1
0.29,2.06,19.12,1.4,0.45,1071.0,2
0.31,2.05,17.02,1.36,0.44,630.0,0
0.34,2.06,16.87,1.4,0.45,810.0,1
0.21,2.24,29.7,1.4,0.48,713.0,2
0.25,2.44,22.53,1.32,0.45,631.0,0
0.23,2.3,25.22,1.36,0.46,681.0,1
0.31,2.26,22.76,1.41,0.47,888.0,2
0.45,2.39,18.25,1.32,0.43,639.0,0
0.32,2.32,20.94,1.39,0.45,754.0,1
0.27,2.1,26.37,1.37,0.49,633.0,2
0.25,2.22,21.62,1.3,0.45,519.0,0
0.26,2.14,25.54,1.36,0.48,613.0,1
0.21,2.3,19.58,1.28,0.42,1234.0,2
0.19,2.67,17.23,1.13,0.39,793.0,0
0.21,2.45,20.15,1.23,0.43,927.0,1
0.33,2.04,21.84,1.5,0.49,830.0,2
0.34,2.2,19.07,1.41,0.41,763.0,0
0.34,2.04,21.4,1.46,0.47,792.0,1
0.23,2.18,20.96,1.33,0.42,671.0,2
0.22,2.26,18.46,1.31,0.41,591.0,0
0.21,2.23,18.93,1.31,0.41,625.0,1
0.26,2.16,25.81,1.4,0.51,568.0,2
0.25,2.38,20.77,1.3,0.51,457.0,0
0.23,2.19,23.04,1.36,0.5,553.0,1
0.38,2.17,30.75,1.33,0.42,892.0,2
0.41,2.26,19.8,1.27,0.43,495.0,0
0.37,2.2,23.92,1.3,0.45,598.0,1
0.27,2.11,26.67,1.48,0.47,747.0,2
0.29,2.24,17.84,1.38,0.44,464.0,0
0.29,2.29,21.16,1.43,0.45,635.0,1
0.26,2.1,30.36,1.31,0.44,911.0,2
0.3,2.32,22.79,1.19,0.48,547.0,0
0.25,2.29,28.04,1.24,0.47,701.0,1
0.26,2.3,25.3,1.26,0.39,1012.0,2
0.24,2.35,18.72,1.23,0.45,543.0,0
0.27,2.34,22.25,1.27,0.41,801.0,1
0.31,2.29,28.51,1.37,0.47,998.0,2
0.29,2.6,17.62,1.26,0.42,705.0,0
0.31,2.46,21.86,1.3,0.45,787.0,1
0.34,2.19,29.15,1.27,0.5,379.0,2
0.46,2.42,20.78,1.24,0.48,291.0,0
0.31,2.23,24.71,1.26,0.5,346.0,1
0.38,2.21,24.53,1.47,0.43,1055.0,2
0.31,2.45,21.5,1.43,0.43,559.0,0
0.31,2.26,22.88,1.47,0.43,778.0,1
0.33,2.12,25.22,1.55,0.42,782.0,2
0.34,2.33,18.87,1.48,0.39,585.0,0
0.36,2.15,22.54,1.53,0.41,699.0,1
0.36,1.94,29.92,1.4,0.42,1227.0,2
0.42,2.15,17.89,1.24,0.39,662.0,0
0.42,1.99,25.45,1.36,0.42,891.0,1
0.19,2.2,25.82,1.41,0.44,1059.0,2
0.15,2.36,25.03,1.3,0.42,701.0,0
0.17,2.19,25.08,1.37,0.43,878.0,1
0.22,2.1,29.73,1.37,0.45,773.0,2
0.19,2.3,17.64,1.21,0.41,441.0,0
0.18,2.2,21.62,1.29,0.43,627.0,1
0.25,2.33,21.09,1.3,0.4,1139.0,2
0.26,2.5,18.05,1.27,0.41,704.0,0
0.26,2.32,19.76,1.31,0.42,909.0,1
0.35,2.29,21.29,1.36,0.38,873.0,2
0.33,2.33,15.96,1.28,0.43,447.0,0
0.3,2.33,19.56,1.38,0.36,802.0,1
0.23,2.01,25.11,1.39,0.43,1281.0,2
0.18,2.22,19.55,1.32,0.43,528.0,0
0.23,2.12,22.41,1.37,0.44,874.0,1
0.3,2.03,29.94,1.52,0.47,569.0,2
0.37,2.39,20.94,1.43,0.44,356.0,0
0.33,2.12,24.45,1.52,0.47,489.0,1
0.3,2.15,24.36,1.39,0.4,1145.0,2
0.31,2.2,20.33,1.34,0.43,732.0,0
0.32,2.13,21.42,1.38,0.42,900.0,1
0.3,2.42,26.51,1.16,0.41,1087.0,2
0.32,2.53,18.84,1.1,0.42,716.0,0
0.31,2.5,23.26,1.14,0.42,884.0,1
0.3,2.09,21.82,1.32,0.38,1004.0,2
0.28,2.2,18.45,1.26,0.37,646.0,0
0.31,2.17,19.8,1.31,0.34,891.0,1
0.24,2.34,22.6,1.31,0.41,1130.0,2
0.22,2.45,16.84,1.25,0.42,657.0,0
0.24,2.33,20.36,1.28,0.42,937.0,1
0.29,1.83,26.09,1.63,0.49,574.0,2
0.21,2.05,14.37,1.39,0.45,417.0,0
0.29,1.94,20.76,1.57,0.47,519.0,1
0.31,2.33,29.86,1.38,0.43,866.0,2
0.35,2.47,20.52,1.3,0.44,513.0,0
0.33,2.32,25.56,1.33,0.43,767.0,1
0.33,2.46,19.37,1.33,0.43,872.0,2
0.34,2.63,16.5,1.26,0.44,561.0,0
0.34,2.52,17.54,1.31,0.43,807.0,1
0.32,2.12,15.22,1.34,0.43,1233.0,2
0.23,2.36,14.52,1.22,0.45,726.0,0
0.32,2.24,14.86,1.27,0.42,1026.0,1
0.27,2.09,23.5,1.48,0.38,987.0,2
0.2,2.16,18.7,1.4,0.35,636.0,0
0.23,2.14,22.28,1.47,0.39,780.0,1
0.35,2.02,24.54,1.31,0.4,1080.0,2
0.31,2.12,17.18,1.2,0.36,739.0,0
0.34,2.05,19.9,1.27,0.4,856.0,1
0.32,2.18,25.21,1.31,0.43,832.0,2
0.31,2.26,17.0,1.28,0.41,646.0,0
0.31,2.19,20.15,1.28,0.41,786.0,1
0.31,1.99,32.08,1.41,0.44,802.0,2
0.33,2.18,25.06,1.26,0.39,727.0,0
0.31,2.0,27.77,1.39,0.42,750.0,1
0.43,1.96,29.73,1.52,0.43,1130.0,2
0.4,2.26,22.28,1.34,0.4,713.0,0
0.38,2.08,27.03,1.41,0.43,838.0,1
0.2,2.27,19.05,1.28,0.46,743.0,2
0.13,2.54,14.42,1.21,0.44,476.0,0
0.17,2.33,18.0,1.28,0.45,630.0,1
0.29,2.25,19.93,1.36,0.44,917.0,2
0.31,2.52,17.13,1.29,0.45,617.0,0
0.29,2.29,19.39,1.34,0.46,737.0,1
0.22,2.25,25.6,1.42,0.46,717.0,2
0.15,2.34,18.0,1.36,0.41,504.0,0
0.2,2.24,22.44,1.42,0.44,651.0,1
0.41,2.5,19.91,1.38,0.43,737.0,2
0.4,2.74,17.8,1.19,0.46,463.0,0
0.43,2.63,19.5,1.25,0.44,585.0,1
0.25,2.15,30.8,1.37,0.44,801.0,2
0.25,2.33,27.39,1.33,0.43,630.0,0
0.27,2.19,29.48,1.39,0.44,737.0,1
0.28,2.24,26.28,1.29,0.42,841.0,2
0.27,2.44,19.75,1.23,0.4,711.0,0
0.28,2.27,25.12,1.28,0.42,779.0,1
0.21,2.17,29.53,1.39,0.42,886.0,2
0.25,2.38,21.46,1.33,0.39,558.0,0
0.21,2.22,24.67,1.37,0.42,765.0,1
0.38,2.21,26.2,1.31,0.37,1022.0,2
0.39,2.42,19.78,1.24,0.37,653.0,0
0.39,2.25,22.89,1.27,0.36,870.0,1
0.41,1.86,31.95,1.45,0.48,639.0,2
0.34,2.19,19.81,1.27,0.48,436.0,0
0.35,2.05,22.48,1.35,0.47,562.0,1
0.22,2.24,29.66,1.36,0.43,979.0,2
0.24,2.47,21.08,1.29,0.41,717.0,0
0.24,2.32,24.96,1.33,0.43,824.0,1
0.23,1.88,24.02,1.37,0.45,817.0,2
0.22,2.13,19.84,1.26,0.42,635.0,0
0.25,1.96,22.76,1.32,0.44,774.0,1
0.28,2.2,21.14,1.32,0.43,740.0,2
0.24,2.23,17.9,1.3,0.38,573.0,0
0.25,2.19,20.39,1.3,0.41,673.0,1
0.21,2.1,22.53,1.44,0.42,1104.0,2
0.2,2.28,18.59,1.41,0.39,688.0,0
0.19,2.19,19.97,1.43,0.41,839.0,1
0.25,2.06,27.09,1.54,0.46,894.0,2
0.2,2.2,20.65,1.48,0.46,537.0,0
0.22,2.08,25.5,1.56,0.47,714.0,1
0.29,2.18,19.36,1.35,0.44,697.0,2
0.26,2.4,15.85,1.12,0.44,428.0,0
0.3,2.28,19.1,1.29,0.46,554.0,1
0.22,2.03,21.79,1.34,0.43,1155.0,2
0.27,2.19,17.24,1.26,0.43,776.0,0
0.25,2.1,18.33,1.3,0.43,880.0,1
0.28,2.03,33.44,1.38,0.45,970.0,2
0.27,2.28,18.42,1.26,0.41,645.0,0
0.29,2.15,22.11,1.29,0.42,796.0,1
0.18,1.97,32.64,1.53,0.44,1110.0,2
0.22,2.05,24.73,1.49,0.44,643.0,0
0.19,2.01,27.93,1.54,0.43,866.0,1
0.21,2.1,23.72,1.42,0.45,783.0,2
0.13,2.28,20.26,1.33,0.46,466.0,0
0.21,2.17,22.7,1.37,0.45,613.0,1
0.28,2.52,19.32,1.31,0.4,831.0,2
0.17,2.88,17.86,1.2,0.41,411.0,0
0.25,2.59,20.38,1.27,0.4,734.0,1
0.24,2.05,18.29,1.47,0.56,567.0,2
0.31,2.36,16.11,1.36,0.52,419.0,0
0.28,2.13,16.61,1.49,0.56,515.0,1
0.3,2.29,28.65,1.29,0.42,1089.0,2
0.35,2.35,19.0,1.26,0.42,722.0,0
0.35,2.3,25.73,1.25,0.42,875.0,1
0.27,2.23,23.65,1.26,0.43,899.0,2
0.25,2.21,18.71,1.21,0.47,524.0,0
0.26,2.27,21.5,1.2,0.44,688.0,1
0.24,2.19,20.09,1.3,0.43,824.0,2
0.25,2.37,13.67,1.23,0.42,547.0,0
0.28,2.28,16.24,1.31,0.43,601.0,1
0.28,2.26,24.22,1.18,0.38,969.0,2
0.31,2.51,17.94,1.15,0.36,646.0,0
0.33,2.38,21.47,1.15,0.38,773.0,1
0.11,2.53,22.63,1.32,0.37,1177.0,2
0.14,2.69,18.2,1.27,0.4,637.0,0
0.13,2.59,20.28,1.28,0.38,913.0,1
0.2,2.21,27.55,1.28,0.46,1102.0,2
0.21,2.38,19.37,1.18,0.45,717.0,0
0.21,2.31,23.84,1.23,0.46,906.0,1
0.34,2.06,24.13,1.48,0.42,869.0,2
0.33,2.2,16.88,1.45,0.43,591.0,0
0.3,2.1,23.21,1.48,0.43,766.0,1
0.17,2.05,23.95,1.46,0.43,958.0,2
0.21,2.24,17.73,1.36,0.49,408.0,0
0.18,2.1,22.8,1.44,0.43,821.0,1
0.29,2.23,22.07,1.29,0.34,1236.0,2
0.25,2.36,19.82,1.21,0.34,793.0,0
0.3,2.24,20.24,1.24,0.32,992.0,1
0.25,2.23,23.93,1.43,0.4,1388.0,2
0.2,2.55,20.77,1.38,0.41,831.0,0
0.24,2.37,21.93,1.43,0.41,1053.0,1
0.33,2.25,29.89,1.42,0.35,1106.0,2
0.45,2.77,22.06,1.19,0.33,706.0,0
0.34,2.38,24.23,1.37,0.36,824.0,1
0.26,2.51,19.51,1.25,0.36,1171.0,2
0.34,2.73,15.72,1.21,0.34,676.0,0
0.29,2.59,19.02,1.26,0.37,894.0,1
0.38,2.38,21.25,1.4,0.4,999.0,2
0.38,2.67,16.71,1.22,0.4,535.0,0
0.41,2.49,18.88,1.34,0.39,812.0,1
0.35,2.22,22.18,1.39,0.39,1065.0,2
0.45,2.41,16.85,1.38,0.38,708.0,0
0.37,2.31,18.91,1.35,0.39,889.0,1
0.27,2.17,26.4,1.46,0.45,1162.0,2
0.37,2.56,17.02,1.3,0.41,681.0,0
0.29,2.28,25.51,1.41,0.45,842.0,1
0.21,2.09,24.29,1.39,0.45,1069.0,2
0.27,2.3,18.75,1.27,0.48,619.0,0
0.24,2.18,20.73,1.33,0.45,850.0,1
0.26,2.22,24.41,1.27,0.39,1123.0,2
0.27,2.3,17.3,1.26,0.41,623.0,0
